Ocular artifact correction,Muscle artifact correction,Low-pass filter,High-pass filter,Reference electrode(s),Detrending,Baseline interval,Autoreject,experiment,decoder,performance
None,None,20 Hz,0.1 Hz,Cz,None,200ms,False,ERN,EEGNet,0.8760262727737427
None,None,20 Hz,0.1 Hz,Cz,None,200ms,False,LRP,EEGNet,0.8280094861984253
None,None,20 Hz,0.1 Hz,Cz,None,200ms,False,MMN,EEGNet,0.5752320885658264
None,None,20 Hz,0.1 Hz,Cz,None,200ms,False,N170,EEGNet,0.745312511920929
None,None,20 Hz,0.1 Hz,Cz,None,200ms,False,N2pc,EEGNet,0.6764969825744629
None,None,20 Hz,0.1 Hz,Cz,None,200ms,False,N400,EEGNet,0.6722916960716248
None,None,20 Hz,0.1 Hz,Cz,None,200ms,False,P3,EEGNet,0.6810937523841858
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Interpolate,ERN,EEGNet,0.8712390065193176
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Interpolate,LRP,EEGNet,0.8160839676856995
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Interpolate,MMN,EEGNet,0.5651983022689819
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Interpolate,N170,EEGNet,0.7290624976158142
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Interpolate,N2pc,EEGNet,0.6730473041534424
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Interpolate,N400,EEGNet,0.6700000166893005
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Interpolate,P3,EEGNet,0.6723437309265137
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,ERN,EEGNet,0.8602185845375061
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,LRP,EEGNet,0.8176540732383728
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,MMN,EEGNet,0.5664600729942322
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,N170,EEGNet,0.7325635552406311
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,N2pc,EEGNet,0.6656211614608765
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,N400,EEGNet,0.6548509001731873
None,None,20 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,P3,EEGNet,0.6824895143508911
